Date and Time: 09-Aug-2024 16:39:11
---------------------------------
N372; 7.989804; 6.329364; 1.956409; 
N373; 7.997432; 6.314842; 1.981783; 
N374; 8.005060; 6.300320; 2.007158; 
N375; 8.012688; 6.285798; 2.032533; 
N376; 8.020316; 6.271275; 2.057908; 
N377; 8.027944; 6.256753; 2.083282; 
N378; 8.035572; 6.242231; 2.108657; 
N379; 8.043200; 6.227709; 2.134032; 
N380; 8.050828; 6.213187; 2.159406; 
N381; 8.058456; 6.198665; 2.184781; 
N382; 8.066084; 6.184143; 2.210156; 
N383; 8.073712; 6.169621; 2.235530; 
N384; 8.081340; 6.155099; 2.260905; 
N385; 8.088968; 6.140577; 2.286280; 
N386; 8.096596; 6.126055; 2.311654; 
N387; 8.104224; 6.111532; 2.337029; 
N388; 8.111852; 6.097010; 2.362404; 
N389; 8.119480; 6.082488; 2.387778; 
N390; 8.127108; 6.067966; 2.413153; 
N391; 8.134736; 6.053444; 2.438528; 
N392; 8.142364; 6.038922; 2.463902; 
N393; 8.149992; 6.024400; 2.489277; 
N394; 8.157620; 6.009878; 2.514652; 
N395; 8.165248; 5.995356; 2.540027; 
N396; 8.172876; 5.980834; 2.565401; 
N397; 8.180504; 5.966312; 2.590776; 
N398; 8.188132; 5.951789; 2.616151; 
N399; 8.195760; 5.937267; 2.641525; 
N400; 8.203388; 5.922745; 2.666900; 
N401; 8.211016; 5.908223; 2.692275; 
N402; 8.218644; 5.893701; 2.717649; 
N403; 8.226272; 5.879179; 2.743024; 
N404; 8.233900; 5.864657; 2.768399; 
N405; 8.241528; 5.850135; 2.793773; 
N406; 8.249156; 5.835613; 2.819148; 
N407; 8.256784; 5.821091; 2.844523; 
N408; 8.264412; 5.806569; 2.869897; 
N409; 8.272040; 5.792046; 2.895272; 
N410; 8.279668; 5.777524; 2.920647; 
N411; 8.287296; 5.763002; 2.946021; 
N412; 8.294924; 5.748480; 2.971396; 
N413; 8.302552; 5.733958; 2.996771; 
N414; 8.310180; 5.719436; 3.022146; 
N415; 8.317808; 5.704914; 3.047520; 
N416; 8.325436; 5.690392; 3.072895; 
N417; 8.333064; 5.675870; 3.098270; 
N418; 8.340692; 5.661348; 3.123644; 
N419; 8.348320; 5.646826; 3.149019; 
N420; 8.355948; 5.632303; 3.174394; 
N421; 8.363576; 5.617781; 3.199768; 
N422; 8.371204; 5.603259; 3.225143; 
N423; 8.378832; 5.588737; 3.250518; 
N424; 8.386460; 5.574215; 3.275892; 
N425; 8.394088; 5.559693; 3.301267; 
N426; 8.401716; 5.545171; 3.326642; 
N427; 8.409344; 5.530649; 3.352016; 
N428; 8.416972; 5.516127; 3.377391; 
N429; 8.424600; 5.501605; 3.402766; 
N430; 8.432228; 5.487082; 3.428140; 
N431; 8.439856; 5.472560; 3.453515; 
N432; 8.447484; 5.458038; 3.478890; 
N433; 8.455112; 5.443516; 3.504265; 
N434; 8.462740; 5.428994; 3.529639; 
N435; 8.470368; 5.414472; 3.555014; 
N436; 8.477996; 5.399950; 3.580389; 
N437; 8.485624; 5.385428; 3.605763; 
N438; 8.493252; 5.370906; 3.631138; 
N439; 8.500880; 5.356384; 3.656513; 
N440; 8.508508; 5.341862; 3.681887; 
N441; 8.516136; 5.327339; 3.707262; 
N442; 8.523764; 5.312817; 3.732637; 
N443; 8.531392; 5.298295; 3.758011; 
N444; 8.539020; 5.283773; 3.783386; 
