Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N390 X8.127108 Y6.067966 Z2.413153
N391 X8.134736 Y6.053444 Z2.438528
N392 X8.142364 Y6.038922 Z2.463902
N393 X8.149992 Y6.024400 Z2.489277
N394 X8.157620 Y6.009878 Z2.514652
N395 X8.165248 Y5.995356 Z2.540027
N396 X8.172876 Y5.980834 Z2.565401
N397 X8.180504 Y5.966312 Z2.590776
N398 X8.188132 Y5.951789 Z2.616151
N399 X8.195760 Y5.937267 Z2.641525
N400 X8.203388 Y5.922745 Z2.666900
N401 X8.211016 Y5.908223 Z2.692275
N402 X8.218644 Y5.893701 Z2.717649
N403 X8.226272 Y5.879179 Z2.743024
N404 X8.233900 Y5.864657 Z2.768399
N405 X8.241528 Y5.850135 Z2.793773
N406 X8.249156 Y5.835613 Z2.819148
N407 X8.256784 Y5.821091 Z2.844523
N408 X8.264412 Y5.806569 Z2.869897
N409 X8.272040 Y5.792046 Z2.895272
N410 X8.279668 Y5.777524 Z2.920647
N411 X8.287296 Y5.763002 Z2.946021
N412 X8.294924 Y5.748480 Z2.971396
N413 X8.302552 Y5.733958 Z2.996771
N414 X8.310180 Y5.719436 Z3.022146
N415 X8.317808 Y5.704914 Z3.047520
N416 X8.325436 Y5.690392 Z3.072895
N417 X8.333064 Y5.675870 Z3.098270
N418 X8.340692 Y5.661348 Z3.123644
N419 X8.348320 Y5.646826 Z3.149019
N420 X8.355948 Y5.632303 Z3.174394
N421 X8.363576 Y5.617781 Z3.199768
N422 X8.371204 Y5.603259 Z3.225143
N423 X8.378832 Y5.588737 Z3.250518
N424 X8.386460 Y5.574215 Z3.275892
N425 X8.394088 Y5.559693 Z3.301267
N426 X8.401716 Y5.545171 Z3.326642
N427 X8.409344 Y5.530649 Z3.352016
N428 X8.416972 Y5.516127 Z3.377391
N429 X8.424600 Y5.501605 Z3.402766
N430 X8.432228 Y5.487082 Z3.428140
N431 X8.439856 Y5.472560 Z3.453515
N432 X8.447484 Y5.458038 Z3.478890
N433 X8.455112 Y5.443516 Z3.504265
N434 X8.462740 Y5.428994 Z3.529639
N435 X8.470368 Y5.414472 Z3.555014
N436 X8.477996 Y5.399950 Z3.580389
N437 X8.485624 Y5.385428 Z3.605763
N438 X8.493252 Y5.370906 Z3.631138
N439 X8.500880 Y5.356384 Z3.656513
N440 X8.508508 Y5.341862 Z3.681887
N441 X8.516136 Y5.327339 Z3.707262
N442 X8.523764 Y5.312817 Z3.732637
N443 X8.531392 Y5.298295 Z3.758011
N444 X8.539020 Y5.283773 Z3.783386
N445 X8.546648 Y5.269251 Z3.808761
N446 X8.554276 Y5.254729 Z3.834135
N447 X8.561904 Y5.240207 Z3.859510
N448 X8.569532 Y5.225685 Z3.884885
N449 X8.577160 Y5.211163 Z3.910259
N450 X8.584788 Y5.196641 Z3.935634
N451 X8.592416 Y5.182119 Z3.961009
N452 X8.600044 Y5.167596 Z3.986384
N453 X8.607672 Y5.153074 Z4.011758
N454 X8.615300 Y5.138552 Z4.037133
N455 X8.622928 Y5.124030 Z4.062508
N456 X8.630556 Y5.109508 Z4.087882
N457 X8.638184 Y5.094986 Z4.113257
N458 X8.645812 Y5.080464 Z4.138632
N459 X8.653440 Y5.065942 Z4.164006
N460 X8.661068 Y5.051420 Z4.189381
N461 X8.668696 Y5.036898 Z4.214756
N462 X8.676324 Y5.022376 Z4.240130
N463 X8.683952 Y5.007853 Z4.265505
N464 X8.691580 Y4.993331 Z4.290880
N465 X8.699208 Y4.978809 Z4.316254
N466 X8.706836 Y4.964287 Z4.341629
N467 X8.714464 Y4.949765 Z4.367004
N468 X8.722092 Y4.935243 Z4.392378
N469 X8.729720 Y4.920721 Z4.417753
N470 X8.737348 Y4.906199 Z4.443128
N471 X8.744976 Y4.891677 Z4.468503
N472 X8.752604 Y4.877155 Z4.493877
N473 X8.760232 Y4.862633 Z4.519252
N474 X8.767860 Y4.848110 Z4.544627
N475 X8.775488 Y4.833588 Z4.570001
N476 X8.783116 Y4.819066 Z4.595376
N477 X8.790744 Y4.804544 Z4.620751
N478 X8.798372 Y4.790022 Z4.646125
N479 X8.806000 Y4.775500 Z4.671500
N480 X8.813628 Y4.760978 Z4.696875
N481 X8.821256 Y4.746456 Z4.722249
